index,lon,lat,alt,time
96,100.492181,13.723045,10.1,2018-07-24 07:34:58
97,100.492166,13.723018,10.1,2018-07-24 07:34:59
98,100.492148,13.722969,10.0,2018-07-24 07:35:01
99,100.49213,13.722915,10.0,2018-07-24 07:35:03
100,100.49212,13.722866,9.9,2018-07-24 07:35:05
101,100.492114,13.722809,9.9,2018-07-24 07:35:07
102,100.492113,13.722781,9.8,2018-07-24 07:35:08
103,100.49211,13.722754,9.8,2018-07-24 07:35:09
104,100.492092,13.722706,9.8,2018-07-24 07:35:11
105,100.492066,13.722664,9.7,2018-07-24 07:35:13
106,100.49205,13.722618,9.7,2018-07-24 07:35:15
107,100.49204,13.722577,9.6,2018-07-24 07:35:17
108,100.492033,13.722538,9.6,2018-07-24 07:35:19
109,100.492031,13.722508,9.5,2018-07-24 07:35:20
110,100.492018,13.722459,9.4,2018-07-24 07:35:22
111,100.49201,13.722429,9.3,2018-07-24 07:35:23
112,100.492004,13.722398,9.3,2018-07-24 07:35:24
113,100.491998,13.722358,9.2,2018-07-24 07:35:25
114,100.491986,13.722317,8.3,2018-07-24 07:35:26
115,100.491968,13.722288,8.2,2018-07-24 07:35:27
116,100.49195,13.722265,8.1,2018-07-24 07:35:28
117,100.49193,13.722238,8.0,2018-07-24 07:35:29
118,100.491908,13.722195,7.9,2018-07-24 07:35:31
119,100.491895,13.722171,7.8,2018-07-24 07:35:32
120,100.491883,13.722147,7.7,2018-07-24 07:35:33
121,100.491866,13.722105,7.6,2018-07-24 07:35:35
122,100.491873,13.722062,7.6,2018-07-24 07:35:37
123,100.491882,13.722026,7.6,2018-07-24 07:35:38
124,100.491863,13.72199,7.6,2018-07-24 07:35:40
125,100.491852,13.721934,7.6,2018-07-24 07:35:42
126,100.49184,13.721905,7.6,2018-07-24 07:35:43
127,100.491816,13.721873,8.0,2018-07-24 07:35:44
128,100.491811,13.721839,8.9,2018-07-24 07:35:45
129,100.491796,13.721801,8.8,2018-07-24 07:35:46
130,100.491785,13.721757,8.8,2018-07-24 07:35:47
131,100.491764,13.721723,8.7,2018-07-24 07:35:48
132,100.491763,13.721693,8.7,2018-07-24 07:35:49
133,100.491742,13.721656,8.6,2018-07-24 07:35:50
134,100.491732,13.721617,8.5,2018-07-24 07:35:51
135,100.491713,13.721577,8.4,2018-07-24 07:35:53
136,100.491678,13.721531,8.3,2018-07-24 07:35:57
137,100.491655,13.721487,8.2,2018-07-24 07:35:58
138,100.491657,13.721442,8.1,2018-07-24 07:36:00
139,100.49167,13.721368,8.6,2018-07-24 07:36:02
140,100.491677,13.721335,8.9,2018-07-24 07:36:03
141,100.491692,13.721281,9.4,2018-07-24 07:36:05
142,100.491708,13.72125,9.8,2018-07-24 07:36:06
143,100.491734,13.72123,10.1,2018-07-24 07:36:07
144,100.491758,13.721209,10.5,2018-07-24 07:36:08
145,100.491786,13.721199,10.8,2018-07-24 07:36:09
146,100.491812,13.721215,11.0,2018-07-24 07:36:10
147,100.491873,13.72122,11.0,2018-07-24 07:36:12
